reviewer_code,packet_version,review_scenario_id,review_started_utc,review_completed_utc,review_duration_seconds,evidence_sufficiency_1_to_5,confidence_1_to_5,reviewed_CR,reviewed_IR,reviewed_AR,reviewed_MAV,reviewed_MAC,reviewed_MAT,reviewed_MPR,reviewed_MUI,reviewed_MVC,reviewed_MVI,reviewed_MVA,reviewed_MSC,reviewed_MSI,reviewed_MSA,reviewed_environmental_vector,reviewed_operational_priority,evidence_missing,ambiguity_detected,decision_status,reviewer_comments
,A,ER-7C54C9FDE4CF,,,,,,,,,,,,,,,,,,,,,,,,,
,A,ER-FBBF72B0E9C0,,,,,,,,,,,,,,,,,,,,,,,,,
,A,ER-E9898B9E1C31,,,,,,,,,,,,,,,,,,,,,,,,,
,A,ER-B0F3A70890F2,,,,,,,,,,,,,,,,,,,,,,,,,
,A,ER-1B4DA28128F1,,,,,,,,,,,,,,,,,,,,,,,,,
,A,ER-2620D60FC580,,,,,,,,,,,,,,,,,,,,,,,,,
,A,ER-F2B1A49BE450,,,,,,,,,,,,,,,,,,,,,,,,,
,A,ER-ED848A513E2E,,,,,,,,,,,,,,,,,,,,,,,,,
,A,ER-716B2506DB0D,,,,,,,,,,,,,,,,,,,,,,,,,
,A,ER-30646EF8CD0C,,,,,,,,,,,,,,,,,,,,,,,,,
,A,ER-BA1EE5365CF7,,,,,,,,,,,,,,,,,,,,,,,,,
,A,ER-11BE2E9CB540,,,,,,,,,,,,,,,,,,,,,,,,,
,A,ER-757ABFCA14EA,,,,,,,,,,,,,,,,,,,,,,,,,
,A,ER-7ED914595EA9,,,,,,,,,,,,,,,,,,,,,,,,,
,A,ER-B3331A056253,,,,,,,,,,,,,,,,,,,,,,,,,
,A,ER-DAB1A70B79BF,,,,,,,,,,,,,,,,,,,,,,,,,
,A,ER-1CB3CA2FC175,,,,,,,,,,,,,,,,,,,,,,,,,
,A,ER-C2EFC8028CEB,,,,,,,,,,,,,,,,,,,,,,,,,
,A,ER-5315CA6892F8,,,,,,,,,,,,,,,,,,,,,,,,,
,A,ER-AE03D4D1F232,,,,,,,,,,,,,,,,,,,,,,,,,
,A,ER-58EA8156CADA,,,,,,,,,,,,,,,,,,,,,,,,,
,A,ER-B9E6C344DC04,,,,,,,,,,,,,,,,,,,,,,,,,
,A,ER-F49918B8C24D,,,,,,,,,,,,,,,,,,,,,,,,,
,A,ER-871B9D49C3EB,,,,,,,,,,,,,,,,,,,,,,,,,
,A,ER-E6E4B454302D,,,,,,,,,,,,,,,,,,,,,,,,,
,A,ER-F2E97443596C,,,,,,,,,,,,,,,,,,,,,,,,,
,A,ER-8E2DC59379E8,,,,,,,,,,,,,,,,,,,,,,,,,
,A,ER-2A2DFBF34396,,,,,,,,,,,,,,,,,,,,,,,,,
,A,ER-1DD2C1247DA3,,,,,,,,,,,,,,,,,,,,,,,,,
,A,ER-13DD9E831E0F,,,,,,,,,,,,,,,,,,,,,,,,,
