scenario_id,cve_id,vulnerability_summary,official_cvss_v4_vector,cvss_b_score,cvss_b_severity,asset_class,deployment_context,internet_exposure,privilege_context,compensating_controls,confidentiality_requirement,integrity_requirement,availability_requirement,candidate_modified_metrics,threat_context,supplemental_context,evidence_links,evidence_summary,watcher_recommendation,uncertainty_flags,review_required,human_review_status,base_priority,environmental_priority,priority_delta,trace_json,scenario_source,cvss_source,source_url,published,last_modified,vuln_status
SCN-NVD-001,CVE-2026-4251,A vulnerability was determined in CityData CityChat up to 0.12.6 on Android. Affected by this vulnerability is an unknown functionality of the file resources/assets/flutter_assets/assets/credentials.json of the component ai.citydata.city...,CVSS:4.0/AV:L/AC:H/AT:N/PR:L/UI:N/VC:L/VI:N/VA:N/SC:N/SI:N/SA:N/E:P/CR:X/IR:X/AR:X/MAV:X/MAC:X/MAT:X/MPR:X/MUI:X/MVC:X/MVI:X/MVA:X/MSC:X/MSI:X/MSA:X/S:X/AU:X/R:X/V:X/RE:X/U:X,1.1,LOW,public_web_application,Customer-facing web application handling authenticated user data.,public,Externally reachable service with standard user accounts.,"WAF enabled, centralized logging, rate limiting, standard patch window.",CR:H - confidentiality is high because customer data may be processed.,IR:H - integrity is high because application state may affect user transactions.,AR:M - availability is medium because outage affects customer access but has fallback operations.,"Candidate Modified Base metrics should be reviewed against public exposure, WAF, account privileges, and deployment controls.",NVD CVE record used as vulnerability source; exploit/threat state requires separate review.,Automatable and provider urgency should be reviewed if official supplemental data exists.,https://nvd.nist.gov/vuln/detail/CVE-2026-4251; https://vuldb.com/?ctiid.351209; https://vuldb.com/?id.351209; https://vuldb.com/?submit.771436,NVD CVE record with CVSS v4.0 metric plus curated local deployment profile: public_web_application.,Review candidate Environmental metric choices against curated deployment evidence before treating them as final.,local_environment_curated; human_review_required; threat_context_not_authoritative,true,required,low,low,0,validation/article/trace/SCN-NVD-001.json,nvd_cvss_v4_with_curated_environment,cna@vuldb.com,https://nvd.nist.gov/vuln/detail/CVE-2026-4251,2026-03-16T17:16:31.840,2026-06-17T10:56:18.330,Deferred
SCN-NVD-002,CVE-2026-4252,A vulnerability was identified in Tenda AC8 16.03.50.11. Affected by this issue is the function check_is_ipv6 of the component IPv6 Handler. The manipulation leads to reliance on ip address for authentication. It is possible to initiate...,CVSS:4.0/AV:N/AC:L/AT:N/PR:N/UI:N/VC:H/VI:H/VA:H/SC:N/SI:N/SA:N/E:P/CR:X/IR:X/AR:X/MAV:X/MAC:X/MAT:X/MPR:X/MUI:X/MVC:X/MVI:X/MVA:X/MSC:X/MSI:X/MSA:X/S:X/AU:X/R:X/V:X/RE:X/U:X,8.9,HIGH,internal_admin_console,Internal administrative interface restricted to VPN and privileged operators.,restricted,Administrative role required after VPN authentication.,"VPN, MFA, network segmentation, privileged access monitoring.",CR:M - confidentiality depends on administrative data visible through the console.,IR:H - integrity is high because admin actions may alter production configuration.,AR:M - availability is medium due to operational dependency.,"Candidate Modified Base metrics should review restricted network path, MFA, privileges, and segmentation.",NVD CVE record used as vulnerability source; exploit/threat state requires separate review.,Recovery and provider urgency may support operational discussion.,https://nvd.nist.gov/vuln/detail/CVE-2026-4252; https://github.com/digitalandrew/tenda_ac8_v5/blob/main/poc_ipv6_auth_bypass.py; https://vuldb.com/?ctiid.351210; https://vuldb.com/?id.351210,NVD CVE record with CVSS v4.0 metric plus curated local deployment profile: internal_admin_console.,Review candidate Environmental metric choices against curated deployment evidence before treating them as final.,local_environment_curated; human_review_required; threat_context_not_authoritative,true,required,high,medium,-1,validation/article/trace/SCN-NVD-002.json,nvd_cvss_v4_with_curated_environment,cna@vuldb.com,https://nvd.nist.gov/vuln/detail/CVE-2026-4252,2026-03-16T17:16:32.057,2026-06-17T10:56:18.450,Analyzed
SCN-NVD-003,CVE-2026-4270,Improper Protection of Alternate Path exists in the no-access and workdir feature of the AWS API MCP Server versions >= 0.2.14 and < 1.3.9 on all platforms may allow the bypass of intended file access restriction and expose arbitrary loc...,CVSS:4.0/AV:L/AC:L/AT:N/PR:N/UI:P/VC:H/VI:N/VA:N/SC:N/SI:N/SA:N/E:X/CR:X/IR:X/AR:X/MAV:X/MAC:X/MAT:X/MPR:X/MUI:X/MVC:X/MVI:X/MVA:X/MSC:X/MSI:X/MSA:X/S:X/AU:X/R:X/V:X/RE:X/U:X,6.8,MEDIUM,identity_provider,Identity and access management component used by multiple internal systems.,restricted,Authentication boundary component with privileged integration tokens.,"MFA, conditional access, monitoring, secrets rotation, incident response playbooks.",CR:H - confidentiality is high because identity data and tokens may be affected.,IR:H - integrity is high because identity compromise may affect trust decisions.,AR:H - availability is high because authentication outage affects many services.,"Candidate Modified Base metrics should review identity blast radius, token exposure, and compensating controls.",NVD CVE record used as vulnerability source; exploit/threat state requires separate review.,Value density and provider urgency may be important because identity systems concentrate risk.,https://nvd.nist.gov/vuln/detail/CVE-2026-4270; https://aws.amazon.com/security/security-bulletins/2026-007-AWS/; https://pypi.org/project/awslabs.aws-api-mcp-server/1.3.9/,NVD CVE record with CVSS v4.0 metric plus curated local deployment profile: identity_provider.,Review candidate Environmental metric choices against curated deployment evidence before treating them as final.,local_environment_curated; human_review_required; threat_context_not_authoritative,true,required,medium,high,1,validation/article/trace/SCN-NVD-003.json,nvd_cvss_v4_with_curated_environment,ff89ba41-3aa1-4d27-914a-91399e9639e5,https://nvd.nist.gov/vuln/detail/CVE-2026-4270,2026-03-16T17:16:32.270,2026-06-17T10:56:20.093,Analyzed
SCN-NVD-004,CVE-2026-28490,"Authlib is a Python library which builds OAuth and OpenID Connect servers. Prior to version 1.6.9, a cryptographic padding oracle vulnerability was identified in the Authlib Python library concerning the implementation of the JSON Web En...",CVSS:4.0/AV:N/AC:H/AT:P/PR:N/UI:N/VC:H/VI:L/VA:N/SC:N/SI:N/SA:N/E:X/CR:X/IR:X/AR:X/MAV:X/MAC:X/MAT:X/MPR:X/MUI:X/MVC:X/MVI:X/MVA:X/MSC:X/MSI:X/MSA:X/S:X/AU:X/R:X/V:X/RE:X/U:X,8.3,HIGH,database_server,Backend database storing regulated business records.,internal,Access limited to application service accounts and database administrators.,"Network isolation, backups, encryption at rest, privileged access logging.",CR:H - confidentiality is high because regulated records may be stored.,IR:H - integrity is high because records are authoritative.,AR:H - availability is high because dependent business processes may stop.,"Candidate Modified Base metrics should review internal exposure, service account privileges, backups, and isolation.",NVD CVE record used as vulnerability source; exploit/threat state requires separate review.,Recovery may be relevant because backups and restore time affect operational impact.,https://nvd.nist.gov/vuln/detail/CVE-2026-28490; https://github.com/authlib/authlib/commit/48b345f29f6c459f11c6a40162b6c0b742ef2e22; https://github.com/authlib/authlib/releases/tag/v1.6.9; https://github.com/authlib/authlib/security/advisories/GHSA-7432-952r-cw78,NVD CVE record with CVSS v4.0 metric plus curated local deployment profile: database_server.,Review candidate Environmental metric choices against curated deployment evidence before treating them as final.,local_environment_curated; human_review_required; threat_context_not_authoritative,true,required,high,critical,1,validation/article/trace/SCN-NVD-004.json,nvd_cvss_v4_with_curated_environment,security-advisories@github.com,https://nvd.nist.gov/vuln/detail/CVE-2026-28490,2026-03-16T18:16:07.557,2026-06-17T10:28:44.203,Analyzed
SCN-NVD-005,CVE-2026-28498,"Authlib is a Python library which builds OAuth and OpenID Connect servers. Prior to version 1.6.9, a library-level vulnerability was identified in the Authlib Python library concerning the validation of OpenID Connect (OIDC) ID Tokens. S...",CVSS:4.0/AV:N/AC:H/AT:P/PR:N/UI:N/VC:N/VI:H/VA:N/SC:N/SI:N/SA:N/E:X/CR:X/IR:X/AR:X/MAV:X/MAC:X/MAT:X/MPR:X/MUI:X/MVC:X/MVI:X/MVA:X/MSC:X/MSI:X/MSA:X/S:X/AU:X/R:X/V:X/RE:X/U:X,8.2,HIGH,developer_workstation,"Developer endpoint with access to source code, build tools, and internal repositories.",restricted,Standard developer user with access to internal repositories and CI credentials.,"EDR, device management, least privilege, repository access controls.",CR:M - confidentiality is medium due to source code and secrets exposure risk.,IR:H - integrity is high because code or pipeline changes may affect production.,AR:L - availability impact is usually limited to one endpoint.,"Candidate Modified Base metrics should review endpoint controls, credentials, repository access, and user interaction.",NVD CVE record used as vulnerability source; exploit/threat state requires separate review.,Automatable may be relevant if exploitation can be scaled across endpoints.,https://nvd.nist.gov/vuln/detail/CVE-2026-28498; https://github.com/authlib/authlib/commit/b9bb2b25bf8b7e01512d847a95c1749646eaa72b; https://github.com/authlib/authlib/releases/tag/v1.6.9; https://github.com/authlib/authlib/security/advisories/GHSA-m344-f55w-2m6j,NVD CVE record with CVSS v4.0 metric plus curated local deployment profile: developer_workstation.,Review candidate Environmental metric choices against curated deployment evidence before treating them as final.,local_environment_curated; human_review_required; threat_context_not_authoritative,true,required,high,high,0,validation/article/trace/SCN-NVD-005.json,nvd_cvss_v4_with_curated_environment,security-advisories@github.com,https://nvd.nist.gov/vuln/detail/CVE-2026-28498,2026-03-16T18:16:07.717,2026-07-01T13:16:55.940,Modified
SCN-NVD-006,CVE-2026-29510,Hereta ETH-IMC408M firmware version 1.0.15 and prior contain a stored cross-site scripting vulnerability that allows authenticated attackers to inject arbitrary JavaScript by manipulating the Device Name field. Attackers can inject malic...,CVSS:4.0/AV:N/AC:L/AT:N/PR:L/UI:P/VC:N/VI:N/VA:N/SC:L/SI:L/SA:N/E:X/CR:X/IR:X/AR:X/MAV:X/MAC:X/MAT:X/MPR:X/MUI:X/MVC:X/MVI:X/MVA:X/MSC:X/MSI:X/MSA:X/S:X/AU:X/R:X/V:X/RE:X/U:X,5.1,MEDIUM,isolated_lab_system,Non-production lab system isolated from production networks.,isolated,"Local lab accounts only, no production credentials.","Network isolation, no production data, rebuildable images.",CR:L - confidentiality is low because no production data is expected.,IR:L - integrity is low because lab state is disposable.,AR:L - availability is low because outage has limited operational effect.,"Candidate Modified Base metrics should review isolation, lack of production data, and rebuildability.",NVD CVE record used as vulnerability source; exploit/threat state requires separate review.,Recovery is likely favorable because lab systems are rebuildable.,https://nvd.nist.gov/vuln/detail/CVE-2026-29510; https://web.archive.org/web/20250820105319/http://hereta.com/; https://www.vulncheck.com/advisories/hereta-eth-imc408m-stored-xss-via-device-name,NVD CVE record with CVSS v4.0 metric plus curated local deployment profile: isolated_lab_system.,Review candidate Environmental metric choices against curated deployment evidence before treating them as final.,local_environment_curated; human_review_required; threat_context_not_authoritative,true,required,medium,low,-1,validation/article/trace/SCN-NVD-006.json,nvd_cvss_v4_with_curated_environment,disclosure@vulncheck.com,https://nvd.nist.gov/vuln/detail/CVE-2026-29510,2026-03-16T18:16:08.020,2026-06-17T10:29:47.600,Analyzed
SCN-NVD-007,CVE-2026-29513,Hereta ETH-IMC408M firmware version 1.0.15 and prior contain a stored cross-site scripting vulnerability that allows authenticated attackers to inject arbitrary JavaScript by manipulating the Device Location field. Attackers can inject m...,CVSS:4.0/AV:N/AC:L/AT:N/PR:L/UI:P/VC:N/VI:N/VA:N/SC:L/SI:L/SA:N/E:X/CR:X/IR:X/AR:X/MAV:X/MAC:X/MAT:X/MPR:X/MUI:X/MVC:X/MVI:X/MVA:X/MSC:X/MSI:X/MSA:X/S:X/AU:X/R:X/V:X/RE:X/U:X,5.1,MEDIUM,ot_monitoring_gateway,Operational technology monitoring gateway connected to industrial telemetry.,internal,Restricted operator and service accounts.,"Network segmentation, allow-listing, monitoring, maintenance window constraints.",CR:M - confidentiality is medium because operational telemetry may be sensitive.,IR:H - integrity is high because telemetry may influence operational decisions.,AR:H - availability is high because monitoring loss may affect operations.,"Candidate Modified Base metrics should review OT segmentation, safety dependency, and maintenance constraints.",NVD CVE record used as vulnerability source; exploit/threat state requires separate review.,Safety and recovery should be reviewed as supplemental context.,https://nvd.nist.gov/vuln/detail/CVE-2026-29513; https://web.archive.org/web/20250820105319/http://hereta.com/; https://www.vulncheck.com/advisories/hereta-eth-imc408m-stored-xss-via-device-location,NVD CVE record with CVSS v4.0 metric plus curated local deployment profile: ot_monitoring_gateway.,Review candidate Environmental metric choices against curated deployment evidence before treating them as final.,local_environment_curated; human_review_required; threat_context_not_authoritative,true,required,medium,medium,0,validation/article/trace/SCN-NVD-007.json,nvd_cvss_v4_with_curated_environment,disclosure@vulncheck.com,https://nvd.nist.gov/vuln/detail/CVE-2026-29513,2026-03-16T18:16:08.190,2026-06-17T10:29:47.720,Analyzed
SCN-NVD-008,CVE-2026-29520,Hereta ETH-IMC408M firmware version 1.0.15 and prior contain a reflected cross-site scripting vulnerability in the Network Diagnosis ping function that allows attackers to execute arbitrary JavaScript. Attackers can craft malicious links...,CVSS:4.0/AV:N/AC:L/AT:N/PR:N/UI:A/VC:N/VI:N/VA:N/SC:L/SI:L/SA:N/E:X/CR:X/IR:X/AR:X/MAV:X/MAC:X/MAT:X/MPR:X/MUI:X/MVC:X/MVI:X/MVA:X/MSC:X/MSI:X/MSA:X/S:X/AU:X/R:X/V:X/RE:X/U:X,5.1,MEDIUM,public_api_gateway,Public API gateway serving partner integrations and mobile clients.,public,API tokens and service-to-service credentials are used.,"API gateway policies, rate limiting, logging, schema validation, token rotation.",CR:H - confidentiality is high because API traffic may expose sensitive data.,IR:H - integrity is high because API actions may change business records.,AR:H - availability is high because partners and clients depend on the API.,"Candidate Modified Base metrics should review public exposure, token scope, rate limiting, and API controls.",NVD CVE record used as vulnerability source; exploit/threat state requires separate review.,Provider urgency and automatable may support operational prioritization.,https://nvd.nist.gov/vuln/detail/CVE-2026-29520; https://web.archive.org/web/20250820105319/http://hereta.com/; https://www.vulncheck.com/advisories/hereta-eth-imc408m-reflected-xss-via-ping-ipaddr-parameter,NVD CVE record with CVSS v4.0 metric plus curated local deployment profile: public_api_gateway.,Review candidate Environmental metric choices against curated deployment evidence before treating them as final.,local_environment_curated; human_review_required; threat_context_not_authoritative,true,required,medium,high,1,validation/article/trace/SCN-NVD-008.json,nvd_cvss_v4_with_curated_environment,disclosure@vulncheck.com,https://nvd.nist.gov/vuln/detail/CVE-2026-29520,2026-03-16T18:16:08.347,2026-06-17T10:29:48.330,Analyzed
SCN-NVD-009,CVE-2026-29521,Hereta ETH-IMC408M firmware version 1.0.15 and prior contain a cross-site request forgery vulnerability that allows attackers to modify device configuration by exploiting missing CSRF protections in setup.cgi. Attackers can host maliciou...,CVSS:4.0/AV:N/AC:L/AT:N/PR:N/UI:A/VC:N/VI:L/VA:N/SC:N/SI:N/SA:N/E:X/CR:X/IR:X/AR:X/MAV:X/MAC:X/MAT:X/MPR:X/MUI:X/MVC:X/MVI:X/MVA:X/MSC:X/MSI:X/MSA:X/S:X/AU:X/R:X/V:X/RE:X/U:X,5.1,MEDIUM,public_web_application,Customer-facing web application handling authenticated user data.,public,Externally reachable service with standard user accounts.,"WAF enabled, centralized logging, rate limiting, standard patch window.",CR:H - confidentiality is high because customer data may be processed.,IR:H - integrity is high because application state may affect user transactions.,AR:M - availability is medium because outage affects customer access but has fallback operations.,"Candidate Modified Base metrics should be reviewed against public exposure, WAF, account privileges, and deployment controls.",NVD CVE record used as vulnerability source; exploit/threat state requires separate review.,Automatable and provider urgency should be reviewed if official supplemental data exists.,https://nvd.nist.gov/vuln/detail/CVE-2026-29521; https://web.archive.org/web/20250820105319/http://hereta.com/; https://www.vulncheck.com/advisories/hereta-eth-imc408m-csrf-via-configuration-setup,NVD CVE record with CVSS v4.0 metric plus curated local deployment profile: public_web_application.,Review candidate Environmental metric choices against curated deployment evidence before treating them as final.,local_environment_curated; human_review_required; threat_context_not_authoritative,true,required,medium,high,1,validation/article/trace/SCN-NVD-009.json,nvd_cvss_v4_with_curated_environment,disclosure@vulncheck.com,https://nvd.nist.gov/vuln/detail/CVE-2026-29521,2026-03-16T18:16:08.500,2026-06-17T10:29:48.450,Analyzed
SCN-NVD-010,CVE-2026-3644,"The fix for CVE-2026-0672, which rejected control characters in http.cookies.Morsel, was incomplete. The Morsel.update(), |= operator, and unpickling paths were not patched, allowing control characters to bypass input validation. Additio...",CVSS:4.0/AV:N/AC:L/AT:P/PR:L/UI:N/VC:L/VI:H/VA:N/SC:N/SI:N/SA:N/E:X/CR:X/IR:X/AR:X/MAV:X/MAC:X/MAT:X/MPR:X/MUI:X/MVC:X/MVI:X/MVA:X/MSC:X/MSI:X/MSA:X/S:X/AU:X/R:X/V:X/RE:X/U:X,6.0,MEDIUM,internal_admin_console,Internal administrative interface restricted to VPN and privileged operators.,restricted,Administrative role required after VPN authentication.,"VPN, MFA, network segmentation, privileged access monitoring.",CR:M - confidentiality depends on administrative data visible through the console.,IR:H - integrity is high because admin actions may alter production configuration.,AR:M - availability is medium due to operational dependency.,"Candidate Modified Base metrics should review restricted network path, MFA, privileges, and segmentation.",NVD CVE record used as vulnerability source; exploit/threat state requires separate review.,Recovery and provider urgency may support operational discussion.,https://nvd.nist.gov/vuln/detail/CVE-2026-3644; https://github.com/python/cpython/commit/556aa098e738b127c714866f819b4abe2f7593d8; https://github.com/python/cpython/commit/57e88c1cf95e1481b94ae57abe1010469d47a6b4; https://github.com/python/cpython/commit/62ceb396fcbe69da1ded3702de586f4072b590dd,NVD CVE record with CVSS v4.0 metric plus curated local deployment profile: internal_admin_console.,Review candidate Environmental metric choices against curated deployment evidence before treating them as final.,local_environment_curated; human_review_required; threat_context_not_authoritative,true,required,medium,low,-1,validation/article/trace/SCN-NVD-010.json,nvd_cvss_v4_with_curated_environment,cna@python.org,https://nvd.nist.gov/vuln/detail/CVE-2026-3644,2026-03-16T18:16:09.907,2026-06-30T16:16:50.613,Modified
